,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
394,2020,7,구로구,2569057,394,,,,,,,,,,
395,2020,7,구로구,2905161,395,,,,,,,,,,
396,2020,7,구로구,2603802,396,,,,,,,,,,
397,2020,7,구로구,2682223,397,,,,,,,,,,
398,2020,7,구로구,1646437,398,,,,,,,,,,
399,2020,7,구로구,3921366,399,,,,,,,,,,
400,2020,7,구로구,3363555,400,,,,,,,,,,
401,2020,7,구로구,3781437,401,,,,,,,,,,
402,2020,4,강서구,3906948,402,,,,,,,,,,
403,2020,4,강서구,2476923,403,,,,,,,,,,
404,2020,4,강서구,4653661,404,,,,,,,,,,
405,2020,4,강서구,5930292,405,,,,,,,,,,
406,2020,4,강서구,5716610,406,,,,,,,,,,
407,2020,4,강서구,4279831,407,,,,,,,,,,
408,2020,4,강서구,4090596,408,,,,,,,,,,
409,2020,4,강서구,6411247,409,,,,,,,,,,
410,2020,4,강서구,5252999,410,,,,,,,,,,
411,2020,4,강서구,8722162,411,,,,,,,,,,
412,2020,4,강서구,4769469,412,,,,,,,,,,
413,2020,4,강서구,4839576,413,,,,,,,,,,
414,2020,4,강서구,4541819,414,,,,,,,,,,
415,2020,4,강서구,1036378,415,,,,,,,,,,
416,2020,4,강서구,1770963,416,,,,,,,,,,
417,2020,4,강서구,4400354,417,,,,,,,,,,
418,2020,4,강서구,4239239,418,,,,,,,,,,
419,2020,4,강서구,4314471,419,,,,,,,,,,
420,2020,4,강서구,1505933,420,,,,,,,,,,
421,2020,4,강서구,2877757,421,,,,,,,,,,
422,2020,4,강서구,4794172,422,,,,,,,,,,
423,2020,4,강서구,3276478,423,,,,,,,,,,
424,2020,4,강서구,3682754,424,,,,,,,,,,
425,2020,4,강서구,3406068,425,,,,,,,,,,
426,2020,4,강서구,4933258,426,,,,,,,,,,
427,2020,4,강서구,2829493,427,,,,,,,,,,
428,2020,4,강서구,7660411,428,,,,,,,,,,
429,2020,4,강서구,4848501,429,,,,,,,,,,
430,2020,4,강서구,3019120,430,,,,,,,,,,
431,2020,4,강서구,4698401,431,,,,,,,,,,
432,2020,4,강서구,5855448,432,,,,,,,,,,
433,2020,4,강서구,4885868,433,,,,,,,,,,
434,2020,4,강서구,3502725,434,,,,,,,,,,
435,2020,4,강서구,2425810,435,,,,,,,,,,
436,2020,4,강서구,1879076,436,,,,,,,,,,
437,2020,4,강서구,4181349,437,,,,,,,,,,
438,2020,4,강서구,4453600,438,,,,,,,,,,
439,2020,4,강서구,5045065,439,,,,,,,,,,
440,2020,4,강서구,6102253,440,,,,,,,,,,
441,2020,4,강서구,8186392,441,,,,,,,,,,
442,2020,4,강서구,3192625,442,,,,,,,,,,
443,2020,4,강서구,4119125,443,,,,,,,,,,
444,2020,4,강서구,9073960,444,,,,,,,,,,
